Selected,LoanNr_ChkDgt
"<a href =""results/Selected.html""><img src=""results/Selected.png""/></a>","<a href =""results/LoanNr_ChkDgt.html""><img src=""results/LoanNr_ChkDgt.png""/></a>"
<b> Type:</b> Boolean column,<b>Type:</b> Integer<br><b>Values:</b>2090
0,1004285007
1,1004535010
0,1005005006
1,1005535001
1,1005996006
1,1006295003
0,1015066002
0,1015266003
0,1018975003
1,1022515008
1,1030805001
1,1033135007
0,1035365010
1,1038956001
1,1039435004
1,1040106003
1,1040115010
0,1041204008
1,1045135004
1,1046615008
1,1048786002
0,1048826001
1,1054835004
1,1056816009
1,1063815000
0,1077145001
1,1086365010
1,1088625009
0,1091405003
0,1092745002
0,1097055006
1,1097615008
1,1100695001
0,1101815002
0,1105055007
1,1106844003
0,1113545001
1,1115215000
1,1118365005
1,1122665004
0,1122875008
0,1123945007
0,1127975002
1,1130575001
0,1136545004
0,1137015000
1,1137605000
0,1138035008
1,1153685002
1,1156185000
1,1159915000
1,1161485001
1,1162204004
1,1162775007
0,1168925005
0,1168985001
1,1169845007
0,1173345002
0,1176946007
1,1177395003
0,1177475003
0,1182995000
1,1183175003
1,1187995010
1,1188446007
1,1188815004
0,1192835002
0,1196525000
0,1199354007
1,1206515002
1,1207665003
1,1207715005
1,1207735000
0,1210706010
1,1216465004
1,1218694000
1,1223795007
0,1227735008
1,1236295009
1,1239985010
0,1241275008
1,1241335002
0,1241435008
0,1245455000
0,1247315008
0,1252285006
0,1256744003
0,1260605006
0,1262665006
0,1264815007
0,1266005004
0,1267495002
0,1269385008
1,1275284002
0,1282426008
1,1284435008
0,1292166006
0,1298785009